t (s),V (mV)
0,16.0744
0.968,16.0368
1.9,16.0157
2.863,15.9871
3.827,15.9487
4.827,15.9179
5.83,15.8777
6.827,15.8322
7.828,15.8025
8.828,15.7592
9.827,15.717
10.827,15.6817
11.827,15.6402
12.828,15.6064
13.827,15.5637
14.827,15.5139
15.827,15.47
16.828,15.4295
17.832,15.3957
18.827,15.343
19.827,15.3077
20.828,15.2726
21.828,15.2327
22.828,15.1956
23.827,15.1494
24.828,15.1076
25.827,15.0575
26.827,15.044
27.827,15.0011
28.827,14.9604
29.828,14.9339
30.827,14.8867
31.827,14.8444
32.828,14.8053
33.827,14.7612
34.828,14.7206
35.827,14.6846
36.828,14.6449
37.827,14.6072
38.827,14.5622
39.827,14.5289
40.827,14.4899
41.832,14.4588
42.827,14.4049
43.828,14.3695
44.827,14.3267
45.827,14.3086
46.828,14.2688
47.828,14.2371
48.828,14.1967
49.827,14.1609
50.827,14.1257
51.827,14.1034
52.828,14.059
53.828,14.0247
54.827,13.9885
55.827,13.966
56.827,13.9312
57.828,13.8952
58.828,13.853
59.827,13.8177
60.827,13.7737
61.828,13.7469
62.827,13.7094
63.827,13.6693
64.827,13.633
65.828,13.5841
66.828,13.5447
67.828,13.5034
68.827,13.4655
69.827,13.4319
70.827,13.3958
71.828,13.3635
72.827,13.3295
73.827,13.3018
74.828,13.264
75.827,13.2405
76.827,13.2053
77.828,13.1715
78.827,13.1346
79.827,13.1073
80.827,13.0694
81.827,13.0317
82.828,12.9999
83.832,12.987
84.827,12.9527
85.828,12.9095
86.827,12.8746
87.827,12.842
88.827,12.8081
89.832,12.7969
90.827,12.7575
91.828,12.726
92.827,12.6931
93.827,12.6762
94.828,12.6372
95.832,12.6011
96.827,12.5737
97.828,12.5478
98.827,12.5091
99.827,12.4734
100.828,12.4273
101.833,12.4045
102.827,12.3944
103.827,12.3535
104.827,12.3213
105.827,12.2934
106.828,12.2571
107.828,12.2219
108.827,12.184
109.827,12.1501
110.827,12.1309
111.827,12.0821
112.828,12.0614
113.83,12.0406
114.828,12.0104
115.827,11.9684
116.827,11.9411
117.827,11.9018
118.827,11.8747
119.827,11.848
120.828,11.806
121.827,11.7763
122.828,11.7471
123.827,11.7204
124.828,11.687
125.827,11.6536
126.828,11.6314
127.827,11.5983
128.828,11.576
129.827,11.546
130.827,11.5199
131.832,11.489
132.827,11.4612
133.828,11.4281
134.827,11.4003
135.827,11.3781
136.828,11.3483
137.832,11.3207
138.828,11.3011
139.828,11.2738
140.827,11.2602
141.827,11.2246
142.828,11.1899
143.832,11.1724
144.827,11.1483
145.828,11.108
146.828,11.0804
147.828,11.0512
148.828,11.0189
149.827,10.99
150.827,10.9707
151.827,10.9391
152.827,10.913
153.827,10.8816
154.827,10.8612
155.827,10.8285
156.827,10.8045
157.828,10.7837
158.828,10.7398
159.827,10.7173
160.827,10.6836
161.828,10.6538
162.828,10.6424
163.827,10.6093
164.826,10.5809
165.826,10.5522
166.826,10.5271
167.826,10.5061
168.827,10.4713
169.827,10.4539
170.827,10.4299
171.826,10.4165
172.826,10.3887
173.831,10.3574
174.827,10.3263
175.826,10.2977
176.826,10.2749
177.827,10.2453
178.826,10.2207
179.829,10.1898
180.826,10.1642
181.826,10.1408
182.827,10.1137
183.827,10.0867
184.826,10.0772
185.826,10.0488
186.826,10.0156
187.826,10.0054
188.828,9.977
189.827,9.9428
190.828,9.9203
191.827,9.882
192.828,9.8528
193.827,9.8362
194.828,9.8209
195.827,9.7998
196.828,9.7802
197.828,9.7601
198.827,9.7276
199.827,9.7093
200.827,9.6736
201.827,9.6542
202.827,9.6228
203.827,9.603
204.827,9.5888
205.828,9.5785
206.827,9.5493
207.827,9.5211
208.827,9.4891
209.832,9.4731
210.828,9.4748
211.828,9.4577
212.827,9.4356
213.827,9.4092
214.827,9.4067
215.832,9.3756
216.828,9.344
217.827,9.3209
218.827,9.2842
219.827,9.2468
220.827,9.2325
221.827,9.2173
222.828,9.1855
223.827,9.1612
224.828,9.1366
225.827,9.1257
226.828,9.1164
227.827,9.0695
228.827,9.0531
229.828,9.0282
230.827,9.0161
