t (s),V (mV)
0,13.234
1.05,13.1815
2.099,13.1209
3.15,13.0627
4.19,12.9982
5.19,12.9469
6.195,12.898
7.19,12.835
8.19,12.7813
9.19,12.728
10.19,12.6744
11.19,12.6235
12.19,12.5603
13.19,12.5082
14.19,12.4595
15.191,12.4106
16.19,12.3463
17.19,12.3003
18.19,12.2545
19.191,12.2098
20.19,12.1428
21.191,12.1007
22.19,12.0506
23.19,12.0019
24.19,11.9492
25.191,11.9007
26.19,11.8415
27.19,11.7785
28.191,11.7386
29.19,11.6744
30.195,11.6341
31.19,11.5942
32.191,11.5436
33.19,11.4886
34.191,11.4318
35.19,11.3851
36.19,11.3275
37.19,11.2785
38.19,11.2297
39.191,11.1853
40.19,11.1313
41.191,11.0879
42.19,11.0418
43.19,10.9982
44.191,10.9439
45.19,10.8962
46.191,10.8554
47.191,10.8097
48.19,10.7837
49.191,10.7161
50.191,10.6722
51.19,10.633
52.189,10.5886
53.19,10.5475
54.194,10.4985
55.189,10.4562
56.189,10.3966
57.189,10.3637
58.189,10.3052
59.189,10.2677
60.189,10.2271
61.189,10.1838
62.189,10.1418
63.19,10.0932
64.189,10.0552
65.189,10.0109
66.191,9.9665
67.19,9.9178
68.191,9.8775
69.19,9.8354
70.19,9.7889
71.19,9.7498
72.191,9.7036
73.191,9.6684
74.19,9.6244
75.19,9.5809
76.19,9.5462
77.19,9.5052
78.19,9.4572
79.19,9.4173
80.191,9.3741
81.19,9.3388
82.191,9.2979
83.19,9.2614
84.191,9.2217
85.19,9.1786
86.19,9.1439
87.191,9.0961
88.19,9.0598
89.19,9.0239
90.195,8.9769
91.191,8.9385
92.19,8.9005
93.191,8.8653
94.19,8.8225
95.191,8.7901
96.191,8.7452
97.19,8.7074
98.191,8.6698
99.19,8.6328
100.191,8.5916
101.19,8.5599
102.19,8.5166
103.19,8.4811
104.19,8.4501
105.19,8.4135
106.19,8.3707
107.19,8.3372
108.19,8.3089
109.19,8.274
110.19,8.2308
111.19,8.1954
112.19,8.1579
113.191,8.1212
114.19,8.082
115.19,8.0563
116.191,8.0255
117.19,7.986
118.19,7.9495
119.19,7.9163
120.19,7.883
121.19,7.8522
122.19,7.8187
123.19,7.7803
124.19,7.7497
125.19,7.7112
126.19,7.6782
127.19,7.6464
128.19,7.6121
129.19,7.5869
130.19,7.5456
131.19,7.5217
132.196,7.4861
133.19,7.4615
134.19,7.4279
135.19,7.3899
136.19,7.3677
137.19,7.3307
138.191,7.2894
139.19,7.2592
140.191,7.2241
141.19,7.1943
142.19,7.1703
143.19,7.1416
144.19,7.1091
145.191,7.0843
146.191,7.0442
