t (s),V (mV)
0,14.8995
1.05,14.8862
2.1,14.8675
3.15,14.8528
4.178,14.8334
5.177,14.8097
6.178,14.791
7.178,14.7723
8.177,14.75
9.178,14.7338
10.177,14.7053
11.178,14.6784
12.177,14.6638
13.177,14.6506
14.178,14.6274
15.177,14.6056
16.177,14.5772
17.177,14.5617
18.177,14.5476
19.178,14.5246
20.177,14.4959
21.178,14.4786
22.177,14.4577
23.177,14.4393
24.177,14.4113
25.177,14.3946
26.178,14.3714
27.178,14.3502
28.177,14.3295
29.177,14.3086
30.178,14.2879
31.178,14.268
32.177,14.2509
33.178,14.2298
34.177,14.2143
35.177,14.1873
36.177,14.1633
37.178,14.1419
38.178,14.12
39.178,14.0967
40.177,14.0872
41.177,14.0663
42.177,14.0476
43.177,14.0274
44.178,14.0191
45.177,13.998
46.177,13.9664
47.178,13.952
48.178,13.9302
49.177,13.9154
50.178,13.8927
51.177,13.8796
52.178,13.8556
53.177,13.84
54.177,13.8208
55.177,13.802
56.177,13.7894
57.178,13.762
58.177,13.7383
59.178,13.7333
60.177,13.7087
61.177,13.6972
62.177,13.6791
63.177,13.6598
64.177,13.6385
65.177,13.6324
66.178,13.6099
67.177,13.5872
68.177,13.5632
69.178,13.5499
70.178,13.5372
71.177,13.5214
72.178,13.5054
73.178,13.4824
74.178,13.4629
75.178,13.4504
76.177,13.4327
77.177,13.413
78.177,13.3993
79.178,13.3826
80.177,13.3663
81.177,13.3482
82.178,13.3336
83.177,13.3089
84.177,13.2977
85.178,13.2826
86.178,13.2618
87.177,13.2513
88.177,13.2306
89.178,13.2161
90.178,13.202
91.177,13.185
92.177,13.1627
93.177,13.1527
94.177,13.1333
95.178,13.1194
96.177,13.1019
97.178,13.0889
98.177,13.0668
99.178,13.05
100.178,13.0455
101.177,13.0256
102.177,13.0089
103.177,12.9999
104.178,12.986
105.177,12.9561
106.177,12.9509
107.177,12.93
108.178,12.9051
109.177,12.8943
110.177,12.8799
111.178,12.8579
112.177,12.8425
113.178,12.8255
114.177,12.8155
115.177,12.7901
116.177,12.7846
117.177,12.7626
118.178,12.7515
119.178,12.7319
120.177,12.7218
121.177,12.7027
122.177,12.6812
123.177,12.6722
124.177,12.6573
125.177,12.6412
126.177,12.6249
127.177,12.6213
128.177,12.6076
129.177,12.5885
130.178,12.5776
131.177,12.5546
132.177,12.5408
133.178,12.5241
134.177,12.5105
135.177,12.498
136.177,12.482
137.178,12.4688
138.177,12.4548
139.177,12.4403
140.177,12.4209
141.177,12.4112
142.178,12.4055
143.177,12.3808
144.178,12.3647
145.177,12.3514
146.178,12.3378
147.177,12.3304
148.178,12.3189
149.177,12.3061
150.177,12.2901
151.178,12.2792
152.177,12.2634
153.177,12.2586
154.177,12.2339
155.178,12.2212
156.177,12.2031
157.177,12.1922
158.178,12.1683
159.177,12.1555
160.178,12.143
161.177,12.1308
162.178,12.1174
163.177,12.1045
164.177,12.0933
165.178,12.076
166.177,12.0644
167.177,12.0491
168.177,12.0361
169.177,12.0248
170.177,12.011
171.177,11.9933
172.178,11.974
173.178,11.9609
174.177,11.9492
175.177,11.9363
176.177,11.9198
177.178,11.9081
178.178,11.8994
179.177,11.8932
180.178,11.8756
181.177,11.864
182.178,11.8434
183.177,11.8256
184.178,11.8148
185.177,11.8022
186.177,11.793
187.177,11.7718
188.178,11.7619
189.177,11.7472
190.177,11.735
191.177,11.7201
192.177,11.7088
193.178,11.6962
194.177,11.6845
195.178,11.6781
196.177,11.669
197.177,11.6441
198.178,11.6336
199.177,11.6202
200.178,11.6144
201.177,11.5966
202.178,11.583
203.177,11.5698
204.177,11.5569
205.178,11.5404
206.177,11.5296
207.178,11.5226
208.177,11.5115
209.178,11.503
210.178,11.4835
211.177,11.4722
212.177,11.4577
213.178,11.4429
214.177,11.4299
215.178,11.4185
216.177,11.4024
217.177,11.3963
218.178,11.3779
219.177,11.3709
220.178,11.3612
221.178,11.3468
222.177,11.3404
223.177,11.3254
224.177,11.3083
225.177,11.2968
226.177,11.2867
227.177,11.2771
228.177,11.2576
229.178,11.2466
230.177,11.2347
231.177,11.2258
232.177,11.2165
233.178,11.2002
234.177,11.1859
235.177,11.1691
236.177,11.158
237.178,11.1485
238.177,11.1338
239.177,11.1207
240.178,11.1086
241.177,11.0982
242.177,11.0891
243.177,11.0765
244.178,11.0729
245.177,11.0519
246.177,11.039
247.177,11.0272
248.177,11.0133
249.177,11.0093
250.177,10.9952
251.177,10.9829
252.177,10.9724
253.178,10.9619
254.177,10.9474
255.177,10.9386
256.178,10.9213
257.177,10.9137
258.177,10.9036
259.178,10.894
260.177,10.8846
261.177,10.8722
262.178,10.8605
263.177,10.857
264.178,10.8385
265.177,10.8249
266.178,10.8184
267.177,10.8092
268.177,10.7955
269.178,10.787
270.177,10.7746
271.178,10.7665
272.177,10.7607
273.177,10.7463
274.177,10.7322
275.177,10.7208
276.178,10.7103
277.177,10.6953
278.177,10.6854
279.177,10.6743
280.178,10.674
281.177,10.6614
282.178,10.641
283.177,10.6334
284.178,10.6264
285.177,10.6055
286.177,10.5999
287.176,10.5961
288.177,10.575
289.176,10.5553
290.176,10.557
291.176,10.5393
292.176,10.525
293.176,10.5186
294.176,10.5122
295.176,10.4976
296.176,10.4834
297.176,10.468
298.176,10.4579
299.176,10.4594
300.177,10.4478
301.176,10.4288
302.176,10.4209
303.176,10.4025
304.176,10.3931
305.176,10.3849
306.176,10.3742
307.176,10.3625
308.176,10.3569
309.176,10.3414
310.177,10.331
311.176,10.3209
312.177,10.3032
313.176,10.3022
314.177,10.2904
315.176,10.278
316.176,10.2657
317.176,10.2534
318.177,10.2366
319.176,10.2292
320.177,10.2218
321.176,10.2078
322.177,10.1982
323.176,10.1834
324.176,10.1837
325.176,10.1647
326.176,10.1557
327.177,10.1507
328.177,10.1371
329.177,10.1163
330.177,10.1056
331.176,10.0904
332.176,10.0764
333.176,10.0673
334.177,10.0637
335.176,10.0533
336.176,10.0424
337.176,10.038
338.176,10.0344
339.177,10.0242
340.176,10.0215
341.177,9.9981
342.177,9.9853
343.177,9.9803
344.177,9.9697
345.177,9.9632
346.177,9.951
347.178,9.9405
348.177,9.9369
349.178,9.9224
350.177,9.9109
351.178,9.8933
352.177,9.886
353.177,9.8755
354.177,9.8727
355.177,9.862
356.178,9.8488
357.177,9.8409
358.177,9.8297
359.178,9.833
360.177,9.8192
361.177,9.8126
362.178,9.7987
363.177,9.7924
364.177,9.7718
365.178,9.7599
366.178,9.7491
367.178,9.7437
368.177,9.7479
369.177,9.732
370.178,9.728
371.177,9.7135
372.178,9.701
373.177,9.6967
374.177,9.6819
375.177,9.6732
376.177,9.6654
377.178,9.6512
378.178,9.6437
379.177,9.637
380.177,9.6273
381.177,9.6173
382.178,9.6045
383.177,9.6007
384.177,9.5933
385.177,9.5832
386.177,9.5721
387.178,9.563
388.177,9.5482
389.177,9.5389
390.177,9.5328
391.178,9.5197
392.178,9.5137
393.177,9.4938
394.178,9.4842
395.177,9.4769
396.177,9.4687
397.178,9.4539
398.177,9.4408
399.177,9.4305
400.178,9.4257
401.177,9.4134
402.177,9.4059
403.177,9.3945
404.177,9.3776
405.177,9.3622
406.177,9.353
407.177,9.3465
408.177,9.3308
409.177,9.3233
410.177,9.319
411.177,9.3064
412.177,9.2947
413.177,9.2887
414.177,9.2749
415.178,9.2656
416.177,9.2567
417.177,9.2534
418.177,9.2413
419.178,9.2356
420.177,9.2196
421.177,9.2089
422.178,9.1987
423.177,9.1932
424.178,9.1852
425.178,9.1805
426.178,9.164
427.178,9.1568
428.178,9.1451
429.177,9.138
430.177,9.1321
431.177,9.1182
432.178,9.1093
433.177,9.093
434.177,9.0906
