t (s),V (mV)
0,15.3173
0.969,15.307
1.901,15.2862
2.87,15.2665
3.807,15.2393
4.806,15.208
5.807,15.1838
6.806,15.1569
7.807,15.1282
8.806,15.0935
9.807,15.0758
10.806,15.0468
11.807,15.0231
12.806,14.9994
13.806,14.9733
14.807,14.9415
15.806,14.917
16.807,14.8821
17.806,14.859
18.806,14.8258
19.806,14.7961
20.806,14.7723
21.806,14.7449
22.807,14.7189
23.807,14.6956
24.806,14.6765
25.806,14.6442
26.806,14.6155
27.806,14.5922
28.807,14.5537
29.806,14.5293
30.806,14.5047
31.807,14.4748
32.806,14.4545
33.807,14.4306
34.806,14.4022
35.806,14.3763
36.807,14.3493
37.807,14.3221
38.806,14.2948
39.806,14.2694
40.806,14.2407
41.806,14.2156
42.806,14.1801
43.806,14.1563
44.807,14.1338
45.806,14.1029
46.806,14.0819
47.806,14.0548
48.806,14.0336
49.806,14.0017
50.806,13.9796
51.806,13.9524
52.806,13.9222
53.807,13.9049
54.807,13.877
55.806,13.8444
56.806,13.8223
57.807,13.8119
58.806,13.7834
59.806,13.7596
60.806,13.731
61.806,13.7116
62.806,13.6819
63.806,13.6652
64.806,13.64
65.806,13.6173
66.806,13.5953
67.806,13.5708
68.807,13.55
69.806,13.5298
70.806,13.4979
71.806,13.4813
72.807,13.445
73.806,13.4194
74.807,13.3931
75.806,13.3651
76.806,13.3469
77.806,13.3251
78.806,13.2992
79.807,13.2825
80.807,13.253
81.806,13.2262
82.806,13.2066
83.806,13.1838
84.807,13.1499
85.807,13.128
86.806,13.1089
87.807,13.0857
88.807,13.0536
89.806,13.0352
90.806,13.0152
91.806,12.979
92.806,12.9624
93.807,12.9511
94.807,12.9227
95.807,12.9044
96.806,12.8857
97.806,12.8591
98.806,12.838
99.807,12.8164
100.807,12.8027
101.806,12.7749
102.806,12.7483
103.807,12.7337
104.806,12.711
105.807,12.6868
106.807,12.6663
107.806,12.6349
108.807,12.6159
109.806,12.6007
110.807,12.5825
111.807,12.5619
112.807,12.5368
113.806,12.5193
114.806,12.4957
115.807,12.4715
116.806,12.452
117.806,12.4329
118.807,12.4001
119.807,12.3775
120.806,12.3536
121.807,12.3359
122.806,12.3162
123.806,12.2966
124.807,12.2741
125.806,12.2525
126.807,12.2352
127.806,12.2138
128.807,12.1907
129.806,12.171
130.806,12.1457
131.807,12.1286
132.806,12.1058
133.807,12.0812
134.806,12.0642
135.806,12.0451
136.806,12.0245
137.806,12.0044
138.806,11.9883
139.806,11.9657
140.807,11.9428
141.807,11.9281
142.807,11.9001
143.806,11.8777
144.806,11.8558
145.806,11.8323
146.807,11.8123
147.806,11.8025
148.806,11.7828
149.807,11.7621
150.806,11.7421
151.806,11.7219
152.806,11.6988
153.807,11.6841
154.806,11.6644
155.806,11.6424
156.807,11.6249
157.806,11.6034
158.806,11.5862
159.806,11.5679
160.806,11.5451
161.807,11.5335
162.806,11.5156
163.806,11.497
164.806,11.4786
165.806,11.4547
166.807,11.438
167.807,11.4138
168.806,11.3979
169.807,11.3767
170.806,11.3569
171.807,11.3369
172.806,11.3154
173.807,11.2994
174.806,11.288
175.807,11.2688
176.806,11.2437
177.806,11.2253
178.806,11.2083
179.806,11.1889
180.806,11.1672
181.807,11.1527
182.806,11.1352
183.807,11.1178
184.806,11.0948
185.806,11.0728
186.807,11.0613
187.807,11.0372
188.807,11.0263
189.806,11.0087
190.806,10.9853
191.806,10.9744
192.806,10.9526
193.806,10.9322
194.806,10.917
195.807,10.8969
196.806,10.8754
197.806,10.8663
198.806,10.8379
199.806,10.8145
200.807,10.7997
201.806,10.7842
202.806,10.7706
203.806,10.7548
204.807,10.7351
205.807,10.715
206.807,10.7002
207.806,10.6891
208.806,10.6664
209.806,10.6548
210.806,10.6353
211.806,10.627
212.806,10.5987
213.806,10.5789
214.805,10.5553
215.805,10.537
216.805,10.5199
217.805,10.5095
218.806,10.4855
219.805,10.4633
220.806,10.4527
221.805,10.4356
222.805,10.4184
223.805,10.4003
224.806,10.3827
225.805,10.3667
226.805,10.3481
227.806,10.3295
228.805,10.3187
229.805,10.3012
230.805,10.2824
231.805,10.2565
232.805,10.2458
233.806,10.2287
234.805,10.2237
235.806,10.2045
236.806,10.1938
237.805,10.1716
238.805,10.1556
239.805,10.1316
240.806,10.1167
241.805,10.0993
242.805,10.0808
243.805,10.0654
244.805,10.0448
245.806,10.0287
246.805,10.0149
247.806,10.0045
248.807,9.983
249.806,9.9725
250.806,9.9527
251.806,9.9253
252.806,9.9153
253.807,9.8998
254.806,9.8918
255.807,9.8762
256.807,9.858
257.806,9.8411
258.806,9.8228
259.806,9.8174
260.807,9.8001
261.807,9.7804
262.806,9.7656
263.807,9.754
264.807,9.7445
265.806,9.7184
266.807,9.6959
267.806,9.6823
268.807,9.6684
269.806,9.6552
270.806,9.636
271.806,9.6119
272.806,9.594
273.806,9.5852
274.806,9.5737
275.807,9.5577
276.806,9.5498
277.807,9.5278
278.806,9.5126
279.806,9.4925
280.807,9.4763
281.806,9.4516
282.806,9.4456
283.806,9.4231
284.807,9.4161
285.806,9.4033
286.806,9.383
287.806,9.3724
288.807,9.353
289.807,9.3448
290.806,9.327
